title,summary,is_word_play,Разметка - механизм 1,Разметка - механизм 2,Комментарий,URL,creation_date,article_url
С гигабитами наперевес // Wi-Fi нового поколения пойдет по домам и офисам,"Власти разрешили использовать частоты 5,9–6,4 ГГц для стандарта связи Wi-Fi 6E в офисах и жилых домах. Стандарт увеличивает скорость беспроводного доступа в интернет и возможен на всех современных смартфонах, планшетах и ПК, но не был легализован в РФ. В Минцифры рассчитывают, что в условиях дефицита оборудования для мобильных сетей Wi-Fi может частично компенсировать снижение их пропускной способности. Однако работоспособность функции зависит от позиции поставщиков оборудования, прекративших поддержку российских устройств.",Да,Трансформация устойчивых сочетаний,,с автоматом наперевес,нет,2022-12-27,https://www.kommersant.ru/doc/5747997
Неопределенно-личные инвестиции // В неустойчивой ситуации на фондовом рынке активизировались спекулянты,"Попытка сыграть на повышение российских акций увенчалась успехом. По итогам 30 марта рублевый индекс Московской биржи вырос на 4,3%, тогда как в предыдущие дни закрывался в минусе. Впрочем, пока на рынке доминируют физические лица, занимающиеся активными спекуляциями. При этом ЦБ расширяет их возможности, увеличивая время торгов, позволяя открывать короткие позиции, на фоне ограничения операций нерезидентов и контролируемого укрепления рубля.",Да,Оксюморон,,,,2022-03-30,
Годность надо иметь // СПЧ предлагает ввести призывные медкомиссии на период мобилизации,"Президентский Совет по правам человека (СПЧ), стало известно “Ъ”, готовит пакет предложений правительству РФ относительно процедуры частичной мобилизации. Правозащитники настаивают, в частности, на введении военно-врачебных комиссий с участием гражданских медиков для оценки функциональной годности резервистов. Кроме того, СПЧ намерен просить правительство установить «четкие критерии по брони» от мобилизации. В интересах армии предложено использовать и российских артистов — их предлагается «отправлять на фронт и в новые территории», поскольку «там люди давно праздников не видели».",Да,Отсылка к прецедентным текстам,,"Гордость надо иметь, гордость. (Фильм Девчата)",нет,2022-12-10,
Место под сомнением // Поражение Даниила Медведева в Монреале обострило борьбу за первое место в рейтинге,"Первая ракетка мира Даниил Медведев в конце августа при определенном стечении обстоятельств может лишиться лидерства в рейтинге. Россиянин уступил Нику Кириосу в первом же матче на турнире серии Masters, проходящем в Монреале, что стоило ему большого количества рейтинговых очков. Уже 22 июля, по завершении еще одного турнира серии Masters — в Цинциннати,— Медведева в рейтинге может обойти Рафаэль Надаль. Впрочем, для этого испанцу нужно выигрывать соревнования, надеясь при этом, что Медведев не сумеет добраться до четвертьфинала.",Да,Трансформация фразеологизмов,,Место под солнцем,https://ru.wikipedia.org/wiki/Место_под_солнцем_(крылатое_выражение),2022-11-08,
Переходя на лица // Режимные объекты могут подвести под биометрию,"Минцифры предложило использовать Единую биометрическую систему (ЕБС) при входе на территорию промышленных, оборонных, атомных, ядерных, оружейных и других объектов. Такая норма содержится в разрабатываемом законопроекте о ГИС ЕБС, который министерство намерено представить осенью. Мера в первую очередь нужна, чтобы создать гарантированный спрос на услуги ЕБС, считают эксперты. В министерстве утверждают, что сдача биометрии будет добровольной. Однако юристы подчеркивают, что в текущей редакции документа это не уточняется.",Да,Трансформация фразеологизмов,,перейти на личности,https://ru.wiktionary.org/wiki/перейти_на_личности,2022-01-08,
Индийские СМИ пройдут фейкконтроль // Власти страны дают отпор критикам спецоперации России,"Правительство Индии призвало ведущие СМИ прекратить распространение ложной информации, несущей угрозу национальной безопасности и «отношениям с дружественными странами». В распоряжении “Ъ” оказалось циркулярное письмо Министерства информации и вещания частным телеканалам, содержащее резкую критику освещения ими событий на Украине. Индийские власти предупреждают, что могут «запретить трансляцию любого канала» в случае публикации фейков. Этот беспрецедентный шаг стал реакцией на материалы индийских СМИ, критикующие «специальную военную операцию» на Украине и развивающие тезис США о необходимости сворачивания сотрудничества Дели с Москвой.",Да,Трансформация устойчивых сочетаний,Словообразование,,https://ru.wikipedia.org/wiki/Фейсконтроль,2022-04-26,
Простоя кадровое решение // Volvo Group уволит часть сотрудников недогруженного завода грузовиков,"Как узнал “Ъ”, Volvo Group сократит штат в РФ. Компания производила грузовики в Калуге, но после начала военных действий на Украине и введения санкций завод простаивает. Сокращения пройдут до конца года — сейчас компания, в российских подразделениях которой работали более 1270 человек, оценивает масштабы. Volvo уже уменьшала штат в РФ во время кризиса 2015 года, но затем увеличила его по мере восстановления рынка. Сейчас проблемы компании серьезнее: она не может собирать машины из-за санкций ЕС в отношении поставок компонентов.",Да,Омофония,,,,2022-05-07,
"Осторожно, сети замедляются // Интернет в метро тормозит из-за роста трафика","Средняя скорость мобильного интернета в московском метро за год снизилась на 4,5 Мбит/сек, до 31,6 Мбит/сек, подсчитали в Telecom Daily. Увеличить ее смог только «Вымпелком», который инвестировал в сети под землей весь год. Пассажиры стали больше смотреть видео, и трафик растет вдвое быстрее, чем в Москве в целом, что влияет на среднюю скорость, объясняют эксперты.",Да,Трансформация устойчивых сочетаний,,,нет,2021-12-14,
Есть на Волге альбом // Что показал Дмитрий Азаров Владимиру Путину,"18 октября президент России Владимир Путин встретился с губернатором Самарской области Дмитрием Азаровым и оказался растроган фотоальбомом, который ему вручил губернатор по просьбе женсовета 2-й армии. Специальный корреспондент “Ъ” Андрей Колесников — с подробностями, которые собеседники не стали утаивать.",Да,Отсылка к прецедентным текстам,,"Песня/стихотворение ""Есть на волге утес""",нет,2022-10-18,
Мир турецкого // Власти Турции заинтриговали сообщением об «определенных решениях» касательно российской спецоперации,"В среду впервые с начала российской военной операции на Украине прозвучала новость о достижении неких конкретных решений, касающихся прекращения огня. Об этом рассказал глава МИД Турции Мевлют Чавушоглу после встречи со своим российским коллегой Сергеем Лавровым, а также сообщила газета Financial Times со ссылкой на источники. Правда, сами лидеры России и Украины Владимир Путин и Владимир Зеленский пока говорят вовсе не о примирении, а о необходимости обеспечить безопасность своих народов — друг от друга.",Да,Отсылка к прецедентным текстам,,Хор Турецкого,https://ru.wikipedia.org/wiki/Хор_Турецкого,2022-03-16,
Рыба любит тишину // Промышленники выступили против публичных торгов,"Инициатива Минфина о переводе до 25% российской рыбы на биржевые торги для стабилизации внутреннего рынка встретила сопротивление участников отрасли. Рыбопромышленники утверждают, что сформировать стандартные партии из добытой в разных районах рыбы невозможно, ее транспортировка затруднена, а усложнение торговли приведет только к росту цен. Производители молока и мяса также критикуют идею Минфина.",Да,Трансформация фразеологизмов,,любовь любит тишину,нет,2022-06-22,
Былое и референдумы // Польские власти вооружились против оппозиции плебисцитом,"Правящая партия Польши «Право и справедливость» решила параллельно со всеобщими выборами 15 октября организовать еще и референдум. На плебисцит планируют вынести четыре вопроса: о миграционной политике ЕС, повышении пенсионного возраста, приватизации предприятий и безопасности границ. Власти настаивают, что столь важные темы необходимо обсудить с населением, а в целях экономии денег и времени логичнее всего провести выборы и референдум в один день. Оппозиция же считает, что руководство страны занимается популизмом и таким образом пытается помешать ей победить в честной борьбе.",Да,Отсылка к прецедентным текстам,,«Былое и думы» — это произведение Александра Герцена,https://ru.wikipedia.org/wiki/Былое_и_думы,2023-08-17,https://www.kommersant.ru/doc/6162679
ВТБ тасует кадры // Рост бизнеса группы запустил ротацию топ-менеджеров,"По данным “Ъ”, скоро произойдут два существенных изменения в составе правления головного банка группы ВТБ. Его покинут первый зампред правления Андрей Пучков и куратор розничного бизнеса, зампред правления Анатолий Печатников. Первым зампредом правления станет Дмитрий Пьянов, розницу возглавит выходец из ВТБ, покинувший группу несколько лет назад Георгий Горшков. По мнению экспертов, такие перемены оправданы в рамках «масштабной эволюции группы».",Да,Полисемия,,,,2023-08-17,https://www.kommersant.ru/doc/6162637
Johnson Matthey нейтрализовался из России // Компания продала завод автокатализаторов менеджменту,"Крупнейший в мире производитель автомобильных катализаторов Johnson Matthey вышел из своего бизнеса в РФ. Завод компании в Красноярске, который сейчас простаивает, в июне перешел в собственность российских топ-менеджеров. Аналитики указывают, что в РФ есть база сырья для производства, но остаются вопросы об интеллектуальных правах на технологии. Кроме того, выпуск автомобилей в стране сильно сократился.",Да,Полисемия,,,,2023-08-17,https://www.kommersant.ru/doc/6162659
ЛЭП дотянули до приговора // Патологоанатома из Кузбасса осудили на 17 лет строгого режима за диверсии,"В Кемеровской области военный суд рассмотрел уголовное дело 41-летнего Александра Червова. Бывший патологоанатом, по данным силовиков, весной 2022 года обрушил несколько вышек ЛЭП, что привело к временному отключению электроэнергии, а также планировал поджечь военкомат. По статьям Уголовного кодекса о диверсии и приготовлении к теракту ему назначили 17 лет колонии строгого режима.",Да,Полисемия,,,,2023-08-10,https://www.kommersant.ru/doc/6149810
В погоне за ставкой // Минфин не хочет платить высокую премию инвесторам,"В неблагоприятных рыночных условиях Минфин установил жесткие стандарты размещения госдолга &mdash; в итоге аукцион по ОФЗ с постоянным купоном признан несостоявшимся. При размещении более популярных ОФЗ с переменным купоном удовлетворено 40% заявок. В ожидании дальнейшего повышения ключевой ставки инвесторы не хотят брать на себя процентный риск классических бумаг, но готовы аккумулировать ликвидность под редкие размещения флоатеров. Эти бумаги, считают аналитики, останутся основным источником привлечения средств до конца года.",Да,Отсылка к прецедентным текстам,,"Фильм ""В погоне за счастьем""",https://ru.wikipedia.org/wiki/В_погоне_за_счастьем,2023-08-09,https://www.kommersant.ru/doc/6149324
Агростоппинг // Крупный агрохолдинг хотят конфисковать в связи с коррупцией его основателя Андрея Коровайко,"Как стало известно “Ъ”, Генпрокуратура решила обратить в доход государства активы Андрея Коровайко — основателя концерна «Покровский», одного из крупных агропромышленных холдингов России. По версии надзора, в основе бизнеса господина Коровайко легли коррупционные доходы, полученные им во время работы в аппарате полпреда президента в Южном федеральном округе (ЮФО) Виктора Казанцева. Прокуроры настаивают, что государству должно отойти около 50 предприятий, владеющих более чем 242 тыс. га земли кадастровой стоимостью 67 млрд руб. Главный ответчик находится в розыске за рэкет.",Да,Словообразование,,,,2023-08-07,https://www.kommersant.ru/doc/6147979
Барбическая сила // Граждане предпочли розовый цвет атомной бомбе,"Фильм «Барби», так и не вышедший в кинопрокат РФ, добрался до зрителя через торренты и обогнал по популярности картину Кристофера Нолана о Роберте Оппенгеймере. Так, в пиковый период число загрузок и раздач на торрентах фильма про Барби достигло 8 тыс., а у «Оппенгеймера» — 4 тыс. Общий уровень невысок, поскольку пока есть только экранные копии. Но участники рынка не ожидают изменения соотношения популярности, которое соответствует соотношению мировых сборов, отмечая, что «массовый зритель предпочтет комедию драме, особенно в кризис». Причем даже текущая популярность «Оппенгеймера», говорят они, по крайней мере отчасти объясняется тем, что в восприятии зрителей фильм стал неофициальной «парой» к «Барби».",Да,Словообразование,,,,2023-08-07,https://www.kommersant.ru/doc/6147920
Островная сцена // Под Казанью прошла 10-я лаборатория «Свияжск АРТель»,"«Свияжск АРТель» — театральный фестиваль хоть и с приставкой «мини», но один из самых интересных в стране. Его суть — освоение острова и его наследия средствами театра. Поучаствовать в этой «артели» всегда стремятся многие, но из списка режиссерских заявок фонд «Живой город» (он и стал инициатором проекта) отбирает только три. Тема этого года — «волнение»: от морского шторма до житейских метаний и нестабильности переходных эпох. Режиссерам предложили раскрыть ее в жанре уличного театра и дали на репетиции пять дней. Об итоговых показах — Алла Шендерова.",Да,Трансформация устойчивых сочетаний,,,,2023-08-04,https://www.kommersant.ru/doc/6146744
МАГАТЭ предоставили крышу // Инспекторы убедились в отсутствии мин над энергоблоками Запорожской АЭС,"Международное агентство по атомной энергии (МАГАТЭ) поставило точку в вопросе о якобы имевшем место минировании крыш двух энергоблоков и турбинного зала Запорожской атомной электростанции (ЗАЭС). Специалисты агентства наконец осмотрели эти объекты и констатировали, что следов мин и взрывчатки там нет. Власти Украины, ранее обвинившие российскую сторону в намерении устроить диверсию на станции, заявление МАГАТЭ по состоянию на вечер пятницы не прокомментировали. Власти РФ же, судя по всему, сотрудничеством с агентством весьма удовлетворены.",Да,Полисемия,,,,2023-08-04,https://www.kommersant.ru/doc/6146700
Компании банкам дороже граждан // Депозитные ставки разошлись по сегментам,"Цена привлечения Сбербанком клиентских средств в розничном сегменте остается стабильной. Этому способствует как удлинение среднего срока вклада, так и высокая доля «бесплатных счетов» в структуре пассивов. Напротив, по корпоративным клиентам, у которых средний чек крупнее, пассивы дорожают.",Да,Полисемия,,,,2023-08-03,https://www.kommersant.ru/doc/6138265
Социологи заплутали в отчетности // «Левада-центр» заплатит штраф за ошибки в оформлении иноагентских документов,"Минюст составил на «Левада-центр» (АНО «Аналитический центр Юрия Левады», включен в реестр иноагентов) протокол по статье о нарушении порядка деятельности иностранного агента. Социологии допустили ошибки при оформлении необходимой отчетности, сообщил «Ъ» директор центра Денис Волков. Организации грозит штраф в размере от 300 тыс. до 500 тыс. руб.— величину взыскания определит Тверской районный суд Москвы.",Да,Трансформация фразеологизмов,,заблудиться в трёх соснах,https://ru.wiktionary.org/wiki/заблудиться_в_трёх_соснах,2023-08-03,https://www.kommersant.ru/doc/6138309
Вагнера показали во всю длину // «Нюрнбергские мейстерзингеры» в «Мариинском-2»,"На новой сцене Мариинского театра показали премьеру самой длинной (шесть часов с антрактами) и самой многофигурной оперы Рихарда Вагнера — «Нюрнбергских мейстерзингеров». Наивные радости и прелести «поэтического реализма», как определил свой стиль режиссер-постановщик Константин Балакин, напомнили Владимиру Дудину о, казалось бы, навсегда забытой эпохе дорежиссерского театра.",Да,Полисемия,,,,2023-08-02,https://www.kommersant.ru/doc/6137172
Как вы бабу назовете // Социальное алиби для гиньоля в фильме «Оторви и выбрось»,"Завтра в прокат выходит фильм Кирилла Соколова «Оторви и выбрось», как кажется ее авторам, комедия о кровожадных русских бабах. Попытка скрестить ежа и ужа, то есть условную «Маленькую Веру» с условными «Бешеными псами», напомнила Михаилу Трофименкову о завете капитана Врунгеля: «Как вы яхту назовете, так она и поплывет».",Да,Отсылка к прецедентным текстам,,"«Как вы яхту назовёте, так она и поплывёт» — цитата из мультипликационного фильма «Приключения капитана Врунгеля» 1979 года.",https://ru.wikipedia.org/wiki/Приключения_капитана_Врунгеля_(мультфильм),2022-04-20,
"Елочка, ужмись! // Предновогодние траты граждан будут минимальными за пять лет","Наблюдавшийся в течение всего года тренд на экономное потребление, вероятно, сохранится и в последние дни декабря. По прогнозам «Тинькофф Касса», в день пикового спроса перед Новым годом — 30 декабря траты россиян могут снизиться на 24% и опуститься до минимальных значений за последние пять лет. На настроениях покупателей, кроме желания снизить расходы, мог сказаться уход части иностранных брендов и менее активные сезонные акции и распродажи.",Да,Отсылка к прецедентным текстам,,,"https://ru.wiktionary.org/wiki/раз,_два,_три!_Ёлочка,_гори!",2022-12-29,
Нервно в полдень // «Правосудие: Первобытный город»: Тимоти Олифант снова в шляпе,"Спустя восемь лет после окончания сериала «Правосудие» про непримиримого федерального маршала Гивенса в ковбойской шляпе выходит продолжение, где шляпа сидит на нем так же неотразимо.",Да,Отсылка к прецедентным текстам,,Ровно в полдень фильм,https://ru.wikipedia.org/wiki/Ровно_в_полдень,2023-08-17,https://www.kommersant.ru/doc/6149206
Не сошлись зарплатами // Руководители среднего звена ждут от работодателей большего,"Претенденты на руководящие позиции среднего уровня ожидают от работодателей зарплату на 20–30% выше той, что им фактически предлагается, подсчитали эксперты кадровой компании UTEAM. Идти соискателям навстречу при этом готова только треть работодателей — поскольку спрос на руководителей среднего звена сейчас ограничен (за исключением менеджеров на производстве). Рекрутеры предполагают, что на завышение этих зарплатных ожиданий влияет дефицит кадров в другой категории руководителей — топ-менеджеров.",Да,Отсылка к прецедентным текстам,,не сошлись характерами,https://ru.wikipedia.org/wiki/Не_сошлись_характерами!,2023-08-21,https://www.kommersant.ru/doc/6172712
ЦБ тянет рейтинг на себя // К профильным агентствам начнут применять новые меры воздействия,"Регулирование рейтинговой отрасли ужесточается. Банк России с конца декабря сможет применять новые меры воздействия: отзывать рейтинги и запрещать их присвоение в случае, если у профильных агентств найдут нарушения. Новые полномочия ЦБ должны помочь в случае нечестной конкуренции, когда игроки необоснованно завышают рейтинги в борьбе за клиентов. Но это также может и снизить независимость агентств.",Да,Трансформация фразеологизмов,,тянуть одеяло на себя,https://ru.wiktionary.org/wiki/тянуть_одеяло_на_себя,2023-08-21,https://www.kommersant.ru/doc/6172764
Усейн Молния // История знаменитого ямайского спортсмена,21 августа 1986 года родился восьмикратный олимпийский чемпион Усейн Болт. За свою карьеру бегун установил восемь мировых рекордов и 11 раз становился чемпионом мира. Усейн Болт является одним из самых высокооплачиваемых спортсменов мира. Биография и спортивные достижения самого быстрого человека на планете — в фотогалерее «Ъ».,Да,Отсылка к прецедентным текстам,,,"https://ru.wikipedia.org/wiki/Болт,_Усэйн",2023-08-21,https://www.kommersant.ru/doc/3069585
Ставка больше чем своп // Инвесторы не хотят выходить из китайской валюты,"После повышения ключевой ставки резко вырос объем операций со свопами с юанем на Московской бирже. Третий день подряд он превышает 400 млрд руб. Это показывает, что владельцы китайской валюты не продают ее, а переносят позиции, хеджируя риски на фоне возросшей волатильности на спот-рынке. При этом в ожидании новых шагов поддержки валютного рынка со стороны властей интерес к хеджированию валютного риска сохранится.",Да,Оксюморон,,,,2023-08-17,https://www.kommersant.ru/doc/6162650
Учат в школе одному // Директор ФГБНУ «Институт стратегии развития образования» Татьяна Суханова о переходе на единые программы с 1 сентября,"Новый учебный год российские школы встретят с обновленными учебными планами и программами. В их основе теперь будут федеральные основные общеобразовательные программы, устанавливающие обязательный базовый уровень требований к содержанию общего образования.",Да,Отсылка к прецедентным текстам,,Песня «Учат в школе»,нет,2023-08-23,https://www.kommersant.ru/doc/6173945
Звук пошел в народ // Рынок аудиокниг растет за счет подписок,"Впервые после начала военных действий рынок аудиокниг в России показал рост: во втором квартале он увеличился на 33%, превысив 920 млн руб. Основным стимулом стало активное потребление контента в рамках подписных сервисов, считают игроки. Аналитики добавляют, что на тенденцию повлияло и активное продвижение относительно новых сервисов — «Букмейта» и «Строк», а также в целом расширение ассортимента аудиокниг.",Да,Полисемия,,,,2023-08-09,https://www.kommersant.ru/doc/6149372
"Доллар постепенно отпускает // Инфляционные ожидания в августе выросли намного меньше, чем ставка ЦБ","Опубликованные Банком России данные августовских опросов инФОМ об инфляционных ожиданиях и потребительских настроениях позволяют более точно судить о причинах, которые заставили ЦБ на внеочередном заседании совета директоров 15 августа поднять ключевую ставку до 12% годовых. Из данных опроса следует, что инфляционные ожидания населения даже в том случае, если Банк России имел к ним доступ в момент решения, вряд ли могли быть причиной такого решения — они выросли, но весьма умеренно.",Да,Полисемия,,,,2023-08-23,https://www.kommersant.ru/doc/6174155
Цены на газ нагрелись на солнце // Стоимость топлива растет на фоне жаркой погоды в Европе,"Цены на газ в Европе поднимаются к уровням конца июля на фоне ожидания новой волны жары в южной части континента на этой и следующей неделе. Тем не менее пока спрос на электроэнергию для кондиционирования не приводит к существенному росту газовой генерации, так как пики в основном покрываются ВИЭ, а общий спрос на энергию остается слабым из-за замедления экономической активности. Пока что снижение цен на газ в течение первого полугодия не привело к восстановлению потребления в Европе даже несмотря на то, что июнь и июль оказались самыми жаркими как минимум c 1940 года.",Да,Полисемия,,,,2023-08-08,https://www.kommersant.ru/doc/6148663
Центры обработки денег // Строительство ЦОДов в Москве и области обещает стать дольше и дороже,"Затраты на строительство новых центров обработки данных (ЦОД) в Московском регионе — как денежные, так и временные — в ближайшие годы могут вырасти в полтора-два раза, сообщает Ассоциация участников отрасли ЦОД. Это связано в том числе и с тем, что решения от ушедших из России вендоров приходится замещать набором компонентов от разных поставщиков. При этом в отрасли ожидают роста выручки за счет клиентов, которым стали недоступны зарубежные облачные решения.",Да,Трансформация устойчивых сочетаний,,Центры обработки данных,https://ru.wikipedia.org/wiki/Дата-центр,2022-05-28,
Дневной прилет «Бобра» // Москву впервые атаковали беспилотником среди бела дня,"В Северо-Западном округе столицы военные средствами радиоэлектронной борьбы (РЭБ) подавили украинский беспилотник типа «Бобер», который рухнул и взорвался в парке неподалеку от перинатально-кардиологического центра 67-й горбольницы. Только по счастливой случайности обошлось без жертв и пострадавших. Следствие полагает, что организаторы теракта, за которым стоят власти Украины, долго готовились к дневному налету на столицу и все-таки нашли брешь в ее противовоздушной обороне.",Да,Полисемия,,,,2023-08-11,https://www.kommersant.ru/doc/6159238
У сочинского чиновника отняли «Корону» // Суд обратил в доход государства семь элитных квартир бывшего вице-мэра города-курорта,"«Ъ» стали известны подробности процесса о конфискации имущества бывшего заместителя главы Сочи Сергея Юрина, который лишился оформленной на подставных лиц недвижимости стоимостью 192 млн руб. Под изъятие попали апартаменты в элитных сочинских ЖК «Корона», «Империя» и «Малибу», квартиры экономкласса, а также незастроенные участки в Дагомысе. По мнению Генпрокуратуры, инициировавшей обращение активов в доход государства, действия Сергея Юрина, скрывавшего нелегальные доходы, носят антисоциальный характер, противны основам правопорядка и нравственности.",Да,Полисемия,,,,2023-08-23,https://www.kommersant.ru/doc/6174030
«Локомотив» встал на путь исправления // После ничьей с «Рубином» в чемпионате железнодорожники победили его в кубке,"Во втором туре группового этапа Кубка России с участием клубов премьер-лиги «Урал» обыграл «Ростов» — 1:0, а «Локомотив» с таким же счетом одолел «Рубин». Таким образом, москвичи с шестью очками лидируют в этой группе. Екатеринбуржцы и ростовчане имеют по три балла, а у казанцев — ноль.",Да,Полисемия,,,,2023-08-08,https://www.kommersant.ru/doc/6148334
Минтайная тоска по родине // Промысловики просят льготы на доставку рыбы в центр страны,"Производители минтая и сельди просят субсидии из бюджета на перевозку своей продукции с Дальнего Востока в центр страны. По разным оценкам, на это потребуется 500–700 млн руб. Мера позволит на 10% снизить розничные цены на рыбу в регионах, удаленных от районов промысла, обещают компании. Но на рынке пессимистично оценивают перспективы льгот из-за бюджетного дефицита и необходимости вывозить огромные запасы лососевых после удачной путины.",Да,Полисемия,,,,2023-08-24,https://www.kommersant.ru/doc/6174816
«Спартак» сорвался на «Урале» // Красно-белые потеряли лидерство в чемпионате России по футболу,"На старте четвертого тура в чемпионате России произошла смена лидера. «Спартак» потерпел первое поражение в сезоне, проиграв со счетом 2:3 на выезде «Уралу», который и возглавил таблицу с десятью очками.",Да,Полисемия,,,,2023-08-11,https://www.kommersant.ru/doc/6151042
